"id_producto";"modelo";"marca";"color";"precio_venta";"stock";"id_usuario";"medidas";"categoria";"categoriau";"imagen";"descripcion"
"220";"DC17153";"ANDVAS ";"C4";"60";NULL;"9";"45-14-130";"aros";"AndVas niño #1";;"NEGRO,ROSA, MORADO"
"221";"DC8002";"ANDVAS";"C4";"60";NULL;"9";"45-16-130";"aros";"AndVas niño #1";;"NEGRO,BLANCO,CELESTE"
"222";"DC17152";"ANDVAS";"C3";"60";NULL;"9";"46-14-130";"aros";"AndVas niño #1";;"NEGRO,ROJO,AZUL"
"223";"DC17153";"ANDVAS";"C2";"60";NULL;"9";"45-14-130";"aros";"AndVas niño #1";;"AZUL,AMARILLO,VERDE"
"224";"DC17152";"ANDVAS";"C4";"60";NULL;"9";"46-14-130";"aros";"AndVas niño #1";;"NEGRO,ROSA,MORADO"
"225";"DC17113";"ANDVAS";"C1";"60";NULL;"9";"50-16-135";"aros";"AndVas niño #1";;"NEGRO"
"226";"15290";"ANDVAS";"C4";"60";NULL;"9";"46-16-130";"aros";"AndVas niño #1";;"MORADO,ROSADO"
"227";"DC17152";"ANDVAS";"C2";"60";NULL;"9";"46-14-130";"aros";"AndVas niño #1";;"AZUL,AMARILLO,VERDE"
"228";"F638";"ANDVAS";"COL.7";"60";NULL;"9";"49-17-140";"aros";"AndVas niño #1";;"OCRE"
"229";"15258";"ANDVAS";"C14";"60";NULL;"9";"48-16-130";"aros";"AndVas niño #1";;"CELESTE"
"230";"DC17113";"ANDVAS";"C02";"60";NULL;"9";"49-14-132";"aros";"AndVas niño #1";;"NEGRO,CAFE"
"231";"DC17112";"ANDVAS";"C06";"60";NULL;"9";"49-16-135";"aros";"AndVas niño #1";;"AZUL,AMARILLO,VERDE"
"232";"15201-1";"ANDVAS";"C1";"60";NULL;"9";"48-15-128";"aros";"AndVas niño #1";;"NEGRO"
"233";"F78";"ANDVAS";"C501";"60";NULL;"9";"47-15-135";"aros";"AndVas niño #1";;
"234";"DC17153";"ANDVAS";"C3";"60";NULL;"9";"45-14-130";"aros";"AndVas niño #1";;"NEGRO,ROJO,AZUL"
"235";"18225";"ANDVAS";"C9";"60";NULL;"9";"45-15-125";"aros";"AndVas niño #1";;"ROSADO"
"236";"DC17152";"ANDVAS";"C5";"60";NULL;"9";"46-14-130";"aros";"AndVas niño #1";;"NEGRO,VERDE,AZUL"
"237";"15255";"ANDVAS";"C1";"60";NULL;"9";"48-16-130";"aros";"AndVas niño #1";;"NEGRO"
"238";"20222";"ANDVAS";"C4";"60";NULL;"9";"46-15-125";"aros";"AndVas niño #1";;"MORADO"
"239";"15216";"ANDVAS";"C13";"60";NULL;"9";"50-15-128";"aros";"AndVas niño #1";;"NEGRO,BLANCO"
"240";"15258";"ANDVAS";"C13";"60";NULL;"9";"48-16-130";"aros";"AndVas niño #1";;"MORADO"
"241";"15276";"ANDVAS";"C1";"60";NULL;"9";"47-16-130";"aros";"AndVas niño #1";;"NEGRO"
"242";"15258";"ANDVAS";"C15";"60";NULL;"9";"48-16-130";"aros";"AndVas niño #1";;"VERDE,NEGRO"
"243";"15248";"ANDVAS";"C13";"60";NULL;"9";"48-16-130";"aros";"AndVas niño #1";;"MORADO"
"244";"15248";"ANDVAS";"C15";"60";NULL;"9";"48-16-130";"aros";"AndVas niño #1";;"CELESTE"
"245";"15276";"ANDVAS";"C15";"60";NULL;"9";"47-16-130";"aros";"AndVas niño #1";;"CELESTE,AZULNEGRO"
"247";"15276";"ANDVAS";"C5";"60";NULL;"9";"47-16-130";"aros";"AndVas niño #1";;"GRIS"
"248";"18225";"ANDVAS";"C11";"60";NULL;"9";"45-15-125";"aros";"AndVas niño #1";;"MORADO"
"249";"15252";"ANDVAS";"C1";"60";NULL;"9";"50-16-130";"aros";"AndVas niño #1";;"NEGRO"
"250";"14334B";"ANDVAS";"C4";"60";NULL;"9";"47-15-130";"aros";"AndVas niño #1";;"MORADO"
"251";"15243";"ANDVAS";"C3";"60";NULL;"9";"47-16-130";"aros";"AndVas niño #1";;"ROSADO"
"252";"17165";"ANDVAS";"C1";"60";NULL;"9";"46-15-126";"aros";"AndVas niño #1";;"MULTICOLOR"
"623";"6110";"AND VAS";"C03";"60";NULL;"7";"51-17-140";"aros";"Gav#14 AndVas todo color, Fem/Masc, Acetato C";;"FRENTE DE ARO AZUL NEGRO VARILLA METALICA"
"635";"UT2143";"AND VAS";"C1";"60";NULL;"7";"52-16-140";"aros";"Gav#14 AndVas todo color, Fem/Masc, Acetato C";;"FRENTE DE ARO NEGRO CON VARILLA DE DISEÑO EN VERDE"
"636";"8874";"AND VAS";"C1";"60";NULL;"7";"53-18-140";"aros";"Gav#14 AndVas todo color, Fem/Masc, Acetato C";;"ACETATO NEGRO"
"637";"F56";"AND VAS";"C501";"60";NULL;"13";"53-16-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO, ACETATO"
"640";"000000";"AND VAS";"0000";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"GRIS CLARO ACETATO"
"641";"00000";"AND VAS";"000000";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"COLOR OCRE CLARO"
"642";"UT159";"AND VAS";"C5";"60";NULL;"7";"55-18-140";"aros";"Gav#14 AndVas todo color, Fem/Masc, Acetato C";;"ARO NEGRO CON LINEA VERDE EN TODO EL CONTORNO"
"654";"0000000";"AND VAS";"000000";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"OCRE CLARO, ACETATO"
"657";"F102";"AND VAS";"C553";"60";NULL;"13";"54-16-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"BEIGE CAFE Y DISEÑOS ACETATO"
"660";"CU400501";"AND VAS";"5002";"60";NULL;"13";"54-14-145";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE Y AMARILLO ACETATO"
"663";"3002618";"AND VAS";"C4";"60";NULL;"13";"51-16-145";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"GRIS OBSCURO, ACETATO"
"666";"00000";"AND VAS";"00000";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"BLANCO ACETATO"
"668";"US85";"AND VAS";"BLACK";"60";NULL;"13";"52-19-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO, ACETATO"
"671";"F65";"AND VAS";"C302";"60";NULL;"13";"51-19-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"ROSADO CON CELESTE Y BLANCO, BARILLAS ROSADAS ACETATO"
"673";"0001";"AND VAS";"0000";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"OCRE OBSCURO ACETATO"
"674";"6213";"AND VAS";"C02";"60";NULL;"13";"53-17-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CELESTE CLARO ACETATO"
"675";"0002";"AND VAS";"0000";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CLARO ACETATO"
"678";"0010";"AND VAS";"0000";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"ROSADO FUERTE, ACETATO"
"679";"0011";"AND VAS";"NEGRO Y BLANCO";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON BLANCO, ACETATO"
"680";"66185";"AND VAS";"NEGRO Y LILA";"60";NULL;"13";"54-16-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON BARILLAS LILAS, ACETATO"
"681";"GU2513";"AND VAS";"047";"60";NULL;"13";"53-15-135";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"OCRE CON BARILLAS LILAS, ACETATO"
"682";"0012";"AND VAS";"OCRE";"60";NULL;"13";"52-17-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"OCRE OBSCURO ACETATO"
"683";"0007";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"684";"0009";"AND VAS";"OCRE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"OCRE OBSCURO ACETATO"
"685";"0008";"AND VAS";"OCRE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"OCRE OBSCURO ACETATO"
"686";"0006";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"687";"0005";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"688";"0004";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"689";"0003";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"690";"8874";"AND VAS";"C28G";"60";NULL;"13";"53-18-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"ROSADO, BARRILLAS NEGRO CON ROJO"
"691";"0013";"AND VAS";"NEGRO";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO, ACETATO"
"692";"0014";"AND VAS";"CLARO";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"BEIGE Y BARILLAS OCRES, ACETATO"
"693";"0016";"AND VAS";"LILA";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"LILA CON GRIS ACETATO"
"694";"0015";"AND VAS";"BLANCO Y NEGRO";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"BLANCO CON NEGRO ACETATO"
"695";"F72";"AND VAS";"C33";"60";NULL;"13";"53-17-142";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"VERDE OBSCURO CON DISEÑOS EN BARILLA ACETATO"
"696";"F172";"AND VAS";"C508";"60";NULL;"13";"52-18-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"BEIGE CAFE Y DISEÑOS ACETATO"
"697";"ZBA003";"AND VAS";"C3";"60";NULL;"13";"51-14-135";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"GRIS CLARO Y OBSCURO ACETATO"
"698";"0018";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE Y BEIGE DISEÑOS ACETATO"
"699";"0017";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"700";"F102";"AND VAS";"C537";"60";NULL;"13";"54-16-140";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"AZUL Y BARILLAS ROJAS"
"701";"0016";"AND VAS";"CAFE ";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO Y DISEÑOS ACETATO"
"702";"DN6011";"AND VAS";"CAFE";"60";NULL;"13";"52-15-138";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CALRO Y BARILLAS CAFE OBSCURO ACETATO"
"703";"0021";"AND VAS";"NEGRO Y BLANCO";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON BLANCO, ACETATO"
"704";"0020";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE OBSCURO , ACETATO"
"705";"0019";"AND VAS";"CAFE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"CAFE Y VERDE EN DISEÑO ACETATO"
"706";"0022";"AND VAS";"AZUL";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"AZUL CLARO EN ACETATO"
"707";"0023";"AND VAS";"BEIGE";"60";NULL;"13";"00-00-000";"aros";"Gav#15 AndVas todo color, Fem/Masc, Acetato C";;"BEIGE  ACETATO"
"712";"A3020";"AND VAS";"C6";"60";NULL;"13";"55-17-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"ROSADO LINEA BLANCA Y CAFE AL DORSO, ACETATO"
"714";"A2013";"AND VAS";"C5";"60";NULL;"13";"55-16-145";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON AZUL OBSCURO, ACETATO"
"719";"XC49";"AND VAS";"C3";"60";NULL;"13";"55-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"MORADO OBSCURO, ACETATO"
"729";"A2054";"AND VAS";"C6";"60";NULL;"13";"54-16-145";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO Y ROJO AL DORSO, ACETATO"
"736";"F199";"AND VAS";"C3";"60";NULL;"13";"49-20-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO, ACETATO"
"745";"6214";"AND VAS";"C02";"60";NULL;"13";"54-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"ROSADO Y LILA AL DORSO, ACETATO"
"777";"F199";"AND VAS";"C7";"60";NULL;"13";"49-20-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO BARILLAS CAFES CON BLANCO, ACETATO"
"779";"F1113";"AND VAS";"C530";"60";NULL;"13";"54-15-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO Y AL DORSO MORADO EN BARILLAS, ACETATO"
"780";"A2007";"AND VAS";"C4";"60";NULL;"13";"54-12-814";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO AL DORDO CAFE CLARO, ACETATO"
"781";"D14";"AND VAS";"C7";"60";NULL;"13";"48-17-132";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"MORADO Y CELESTE CLARO AL DORSO, ACETATO"
"782";"XC52";"AND VAS";"C1";"60";NULL;"13";"54-17-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"OCRE CON CAFE, ACETATO"
"783";"ZBA003";"AND VAS";"C4";"60";NULL;"13";"51-14-153";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"GRIS NEGRO DORADO ACETATO (51.5) ES LA MEDIDA "
"784";"F1127";"AND VAS";"C513";"60";NULL;"13";"54-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO BEIGE CAFE ACETATO"
"787";"6213";"AND VAS";"C04";"60";NULL;"13";"53-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"AZUL CON ADORNOS ACETATO"
"788";"8867";"AND VAS";"C111";"60";NULL;"13";"53-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"OCRE OBSCURO ACETATO"
"795";"6209";"AND VAS";"C03";"60";NULL;"13";"52-16-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON DISEÑOS EN BARILLAS, ACETATO"
"796";"D14";"AND VAS";"C2";"60";NULL;"13";"48-17-132";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON VERDE TRASNPARENTE, ACETATO"
"798";"F21";"AND VAS";"C2";"60";NULL;"13";"51-15-135";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CLARO TRANSPARNTE ACETATO"
"800";"6170";"AND VAS";"C03";"60";NULL;"13";"48-20-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CLARO CON DISEÑOS EN BARILLAS ACETATO"
"803";"ZBA003";"AND VAS";"C4";"60";NULL;"13";"51-14-135";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"GRIS NEGRO DORADO ACETATO (51.5) ES LA MEDIDA "
"805";"A3004";"AND VAS";"C4";"60";NULL;"13";"55-17-145";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"MORADO CON BLANCO AL DORSO ACETATO"
"810";"F611";"AND VAS";"C502";"60";NULL;"13";"51-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"TRANSPARENTE CON DISEÑOS EN GRIS ACETATO"
"812";"5166";"AND VAS";"C02";"60";NULL;"13";"53-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"AZUL OBSCURO Y CELESTE CON DISEÑOS EN BARILLA, ACETATO"
"813";"A3022";"AND VAS";"C2";"60";NULL;"13";"55-17-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE ACETATO"
"829";"ZBA003";"AND VAS";"C1";"60";NULL;"13";"51-14-135";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"VERDE NEGRO BEIGE, ACETATO"
"830";"XC491";"AND VAS";"C3";"60";NULL;"13";"55-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"MORADO ACETATO"
"831";"A2007";"AND VAS";"C4";"60";NULL;"13";"54-18-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON ROSADO SUEVE, ACETATO"
"832";"A2116";"AND VAS";"C2";"60";NULL;"13";"50-18-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CELESTE CON CAFE EN BARILLAS  ACETATO"
"833";"UT147";"AND VAS";"C3";"60";NULL;"13";"55-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON CELESTE CLARO, ACETATO"
"834";"F76";"AND VAS";"C27";"60";NULL;"13";"54-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON VERDE DISEÑO EN BARILLAS, ACETATO"
"835";"CX49";"AND VAS";"C3";"60";NULL;"13";"55-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"MORADO ACETATO"
"838";"F611";"AND VAS";"C503";"60";NULL;"13";"51-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"GRIS OBSCURO, ACETATO"
"839";"6107";"AND VAS";"C02";"60";NULL;"13";"52-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON GRIS, BARILLAS METAL, ACETATO"
"842";"ALPI3903";"AND VAS";"C1";"60";NULL;"13";"54-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CON DISEÑOS ACETATO"
"845";"0006";"AND VAS";"AZUL ROJO";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"AZUL ROJO "
"846";"0005";"AND VAS";"NEGRO ROJO";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON ROJO ACETATO"
"847";"0002";"AND VAS";"CAFE Y VERDE";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE Y VERDE ACETATO"
"849";"0001";"AND VAS";"CAFE Y NEGRO";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CON DISEÑOS NEGRO  ACETATO"
"850";"0003";"AND VAS";"NEGRO";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON LINEA EN CONTORNO"
"855";"A2007";"AND VAS";"C4A";"60";NULL;"13";"54-18-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON AMARILLO ACETATO"
"856";"0004";"AND VAS";"CAFE CLARO";"60";NULL;"13";"00-00-000";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CLARO ACETATO"
"857";"FJ8004";"AND VAS";"C4";"60";NULL;"13";"53-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO LINEAS CELESTE Y MORADO ACETATO"
"858";"FJ8004";"AND VAS";"C1";"60";NULL;"13";"53-16-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO, ACETATO"
"859";"A2005";"AND VAS";"C5";"60";NULL;"13";"53-17-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"GRIS LINEA AMARILLAS Y NEGRO ACETATO"
"860";"FJ8005";"AND VAS";"C6";"60";NULL;"13";"55-17-140";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"NEGRO CON ROJO ACETATO"
"861";"A2107";"AND VAS";"C6";"60";NULL;"13";"53-17-142";"aros";"Gav#16 AndVas todo color, Fem/Masc, Acetato C";;"CAFE CLARO ACETATO"
"910";"AM3007";"AND VAS";"C4";"60";NULL;"8";"54-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"VERDE DORADO"
"911";"AM3005";"AND VAS";"C5";"60";NULL;"8";"54-19-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"LILA DORADO"
"912";"AM3019";"AND VAS";"C2";"60";NULL;"8";"54-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"MORADO DORADO"
"913";"DS18074";"AND VAS";"C2";"60";NULL;"8";"53-17-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"SEMI AEREO CAFE, AZUL"
"914";"DS18036";"AND VAS";"C4";"60";NULL;"8";"54-16-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"MORADO DORADO"
"916";"1710A23";"AND VAS";"C3";"60";NULL;"8";"53-18-138";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"ROJO DORADO"
"920";"DS18074";"AND VAS";"C1";"60";NULL;"8";"53-17-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"NEGRO PLATA"
"921";"1449";"AND VAS ";"C7";"60";NULL;"8";"48-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"ROJO"
"923";"DS17195";"AND VAS";"C1";"60";NULL;"8";"50-16-135";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"NEGRO DORADO"
"958";"AM3016";"AND VAS";"C4";"60";NULL;"8";"54-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"VERDRE MORADO"
"960";"DS17188";"AND VAS";"C4";"60";NULL;"8";"55-17-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"NEGRO PLATA"
"962";"AM3016";"AND VAS";"C3";"60";NULL;"8";"54-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"MORADO PLATA"
"964";"DS19066";"AND VAS";"C2";"60";NULL;"8";"53-16-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"OCRE DORADO"
"966";"AM3005";"AND VAS";"C3";"60";NULL;"8";"54-19-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"MORADO DORADO"
"968";"AM3019";"AND VAS";"C5";"60";NULL;"8";"54-16-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"CELESTE DORADO"
"969";"AM3007";"AND VAS";"C5";"60";NULL;"8";"54-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"AZUL DORADO"
"971";"DS18036";"AND VAS";"C2";"60";NULL;"8";"54-16-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"CADE DORADO"
"973";"DS18003";"AND VAS";"C2";"60";NULL;"8";"54-17-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"AZUL DORADO"
"975";"DS17188";"AND VAS";"C2";"60";NULL;"8";"55-17-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"CAFE DORADO"
"977";"AM3005";"AND VAS";"C4";"60";NULL;"8";"54-19-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"CELESTE DORDO"
"979";"DS18100";"AND VAS";"C1";"60";NULL;"8";"52-17-135";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"NEGRO MATE SEMI AEREO"
"981";"DS18068";"AND VAS";"C4";"60";NULL;"8";"51-17-135";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"AZUL SEMI AEREO"
"984";"AM3007";"AND VAS";"C3";"60";NULL;"8";"54-18-140";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"MORADO DORADO"
"985";"AM3009";"AND VAS";"C2";"60";NULL;"8";"55-18-142";"aros";"Gav#21 Economico Femenino, Todo Tamaño, Metal";;"OCRE DORARA"
